emp_no,dept_no,from_date,to_date
485287,d005,19-03-1986,27-04-1993
485288,d007,24-06-1990,14-12-1994
485288,d009,14-12-1994,03-02-2001
485289,d008,14-09-1993,01-01-9999
485290,d006,14-02-1991,01-01-9999
485291,d007,27-12-1994,01-01-9999
485292,d007,23-02-1997,01-01-9999
485293,d004,28-07-1990,01-01-9999
485294,d005,11-05-1996,01-01-9999
485295,d001,18-07-1989,01-01-9999
485296,d008,10-12-1998,01-01-9999
485297,d004,24-09-1995,30-08-1998
485298,d005,27-06-1988,01-01-9999
485299,d004,03-06-1986,01-09-1990
485299,d006,01-09-1990,03-02-1995
485300,d004,04-12-1993,01-01-9999
485301,d004,01-03-1990,01-01-9999
485302,d007,23-05-1991,01-01-9999
485303,d005,21-06-1993,01-01-9999
485304,d004,27-02-1998,01-01-9999
485305,d008,21-09-1998,01-01-9999
485306,d004,24-12-1993,01-01-9999
485307,d006,08-10-1985,06-02-1996
485308,d004,25-12-1994,01-01-9999
485308,d006,27-02-1989,25-12-1994
485309,d001,30-10-1998,01-01-9999
485310,d007,14-08-1990,01-01-9999
485311,d003,23-08-1999,01-01-9999
485312,d007,16-02-1989,01-01-9999
485313,d005,29-10-1988,01-01-9999
485314,d005,23-08-1993,01-01-9999
485315,d004,05-01-1999,08-02-2001
485316,d004,26-01-1996,01-01-9999
485317,d008,15-01-1987,01-01-9999
485318,d002,08-05-1991,01-01-9999
485319,d005,25-11-1994,31-01-2001
485319,d008,31-01-2001,01-01-9999
485320,d004,12-10-1998,01-01-9999
485321,d001,22-02-1992,01-01-9999
485322,d007,23-04-1989,01-01-9999
485323,d007,08-12-1994,01-01-9999
485324,d005,14-12-1996,04-04-1998
485325,d004,03-04-1986,01-01-9999
485326,d009,12-11-1992,01-01-9999
485327,d004,24-04-1994,25-05-1999
485327,d006,25-05-1999,01-01-9999
485328,d007,11-09-1990,01-01-9999
485329,d008,22-06-1994,03-09-1994
485330,d007,30-06-1993,01-01-9999
485331,d004,28-03-1993,01-01-9999
485332,d001,21-06-1989,01-01-9999
485333,d004,06-04-1998,01-01-9999
485334,d002,18-12-1991,01-01-9999
485335,d002,28-06-1988,06-04-2001
485336,d009,04-10-1993,01-01-9999
485337,d007,03-03-1990,02-07-1998
485337,d009,02-07-1998,01-01-9999
485338,d002,25-05-1991,18-10-1994
485339,d001,25-01-1993,01-01-9999
485340,d004,01-10-1998,08-06-1999
485341,d004,21-11-1988,01-01-9999
485342,d004,10-12-1993,01-01-9999
485343,d006,13-04-1998,01-01-9999
485344,d003,12-01-1998,01-01-9999
485345,d003,29-07-1996,01-01-9999
485346,d004,26-02-1990,01-01-9999
485347,d005,12-11-1991,20-08-1992
485347,d008,20-08-1992,21-05-1995
485348,d007,05-07-1996,01-01-9999
485349,d004,26-07-1999,01-01-9999
485350,d006,23-02-1996,01-01-9999
485351,d007,03-10-1993,01-01-9999
485352,d002,21-10-1995,01-01-9999
485353,d005,04-07-1994,10-11-2000
485354,d005,02-05-1994,01-01-9999
485355,d007,23-05-1988,01-01-9999
485356,d007,16-12-1986,01-01-9999
485357,d005,29-11-1993,01-01-9999
485358,d004,30-06-2002,01-01-9999
485358,d005,12-10-1994,30-06-2002
485359,d009,16-02-1993,12-07-1999
485360,d007,13-07-1994,01-01-9999
485361,d007,18-09-1998,01-01-9999
485362,d005,05-04-1990,07-01-1993
485363,d002,01-06-1987,01-01-9999
485364,d005,05-03-1998,01-01-9999
485365,d005,13-05-1990,01-01-9999
485366,d005,23-08-1994,01-01-9999
485367,d006,06-01-1986,01-12-1999
485368,d001,24-09-2001,01-01-9999
485368,d007,26-03-1997,24-09-2001
485369,d001,23-04-1986,01-01-9999
485370,d007,07-09-1995,01-01-9999
485371,d009,20-04-1997,01-01-9999
485372,d004,23-04-1991,01-01-9999
485373,d007,27-06-1985,28-08-2001
485374,d009,02-01-1990,01-01-9999
485375,d002,28-02-1989,01-01-9999
485376,d001,17-10-1995,01-01-9999
485376,d007,02-07-1994,17-10-1995
485377,d004,07-08-1999,01-01-9999
485378,d005,30-11-1994,01-01-9999
485379,d006,10-08-1985,30-09-2000
485380,d007,26-08-1988,21-05-1992
485381,d009,19-06-1986,01-01-9999
485382,d004,21-09-1993,01-01-9999
485383,d004,14-07-1991,01-01-9999
485384,d006,20-02-1986,01-01-9999
485385,d004,12-10-1993,01-01-9999
485386,d004,07-05-1988,01-01-9999
485387,d005,18-01-1994,01-01-9999
485387,d006,06-05-1986,18-01-1994
485388,d001,18-07-1990,16-02-2002
485389,d003,16-12-1994,01-01-9999
485390,d005,15-05-1985,01-01-9999
485391,d007,06-06-1999,01-01-9999
485392,d008,17-03-1994,01-01-9999
485393,d001,17-06-1993,02-06-1997
485394,d009,04-02-1999,01-01-9999
485395,d005,09-07-1986,01-01-9999
485396,d004,28-08-1989,01-01-9999
485397,d005,22-04-1998,01-01-9999
485398,d004,20-10-2001,01-01-9999
485398,d005,11-12-1997,20-10-2001
485399,d007,30-12-1990,01-01-9999
485400,d001,29-11-1987,01-01-9999
485401,d001,11-12-1985,28-05-1986
485402,d005,07-02-1988,01-01-9999
485403,d001,02-03-1988,01-01-9999
485404,d004,14-01-1990,01-01-9999
485405,d003,03-10-1997,01-01-9999
485406,d009,21-06-1996,01-01-9999
485407,d002,30-11-2000,01-01-9999
485407,d003,18-04-1998,30-11-2000
485408,d007,23-07-1989,05-09-1996
485409,d001,18-10-1987,17-10-1988
485410,d006,18-12-1992,01-01-9999
485411,d006,09-12-1985,01-01-9999
485412,d001,12-01-1987,01-01-9999
485413,d007,18-03-1987,01-01-9999
485414,d008,28-06-1985,01-01-9999
485415,d007,27-10-1998,01-01-9999
485416,d006,03-09-1989,01-01-9999
485417,d002,28-08-1995,01-01-9999
485417,d003,13-01-1990,28-08-1995
485418,d005,02-05-1999,14-03-2001
485419,d004,11-12-1993,01-01-9999
485420,d004,13-12-1987,01-01-9999
485421,d002,18-08-1994,27-06-1997
485422,d004,23-04-1991,01-01-9999
485423,d009,11-02-1992,01-01-9999
485424,d004,10-11-1992,01-01-9999
485425,d005,20-01-1986,01-01-9999
485426,d005,20-08-1987,01-01-9999
485427,d004,22-06-1989,01-01-9999
485428,d001,03-06-1994,16-11-1998
485428,d007,25-01-1992,03-06-1994
485429,d007,04-03-1987,05-02-1992
485430,d004,11-07-1988,01-01-9999
485431,d006,30-10-1995,01-01-9999
485432,d004,19-01-1995,19-11-2001
485433,d005,25-01-1990,01-01-9999
485434,d004,13-06-1986,01-01-9999
485435,d003,30-09-1989,01-01-9999
485436,d002,15-05-1987,01-01-9999
485437,d005,13-08-1999,01-01-9999
485438,d005,11-02-1994,21-03-1996
485438,d008,21-03-1996,01-01-9999
485439,d004,28-06-1999,01-01-9999
485440,d003,31-03-1996,10-05-1999
485441,d003,15-09-1987,01-01-9999
485442,d005,03-11-1997,01-01-9999
485443,d003,01-11-1986,01-01-9999
485444,d007,30-01-1995,01-01-9999
485445,d004,06-09-1994,14-04-2002
485446,d002,01-03-1986,01-01-9999
485447,d007,17-09-1992,01-01-9999
485448,d005,02-11-1991,01-01-9999
485449,d005,29-06-2001,01-01-9999
485449,d009,19-01-1989,29-06-2001
485450,d008,16-06-1993,19-12-1994
485451,d006,24-05-1994,11-07-2000
485452,d006,12-12-1986,01-01-9999
485453,d009,01-05-1987,01-01-9999
485454,d007,07-01-1998,01-01-9999
485455,d004,20-08-1993,01-01-9999
485456,d005,10-03-1994,01-01-9999
485457,d005,24-03-1998,01-01-9999
485458,d004,06-02-1989,02-06-1990
485458,d006,02-06-1990,01-01-9999
485459,d008,09-11-1998,01-04-2002
485460,d005,30-09-1998,01-01-9999
485461,d004,26-01-1994,01-01-9999
485462,d005,11-06-1992,01-01-9999
485463,d008,22-11-1991,01-01-9999
485464,d002,31-12-1989,01-01-9999
485465,d004,11-05-1987,14-04-1993
485466,d005,09-04-1999,01-01-9999
485467,d005,05-04-1986,01-01-9999
485468,d005,18-04-2001,01-01-9999
485468,d009,17-07-1987,18-04-2001
485469,d004,26-12-1986,01-01-9999
485470,d004,05-01-1994,01-01-9999
485471,d005,23-04-1994,01-01-9999
485472,d003,26-08-1997,01-01-9999
485473,d004,21-06-1996,01-01-9999
485474,d005,25-09-1991,02-05-1998
485475,d006,28-09-1994,01-01-9999
485476,d004,27-08-1988,01-01-9999
485477,d005,11-11-1990,01-01-9999
485478,d004,02-06-2001,01-01-9999
485478,d005,24-11-1986,02-06-2001
485479,d007,09-03-1990,01-01-9999
485480,d004,04-08-1987,01-01-9999
485481,d004,21-09-1989,01-01-9999
485482,d001,24-02-1996,01-01-9999
485483,d005,20-07-1996,02-01-2002
485484,d005,30-04-1992,01-01-9999
485485,d002,26-09-1985,15-02-1996
485486,d001,14-03-1996,01-01-9999
485486,d003,20-09-1988,14-03-1996
485487,d007,06-11-1986,01-01-9999
485488,d005,16-05-1987,04-01-2000
485489,d005,14-12-1986,01-01-9999
485490,d007,15-05-1999,01-01-9999
485491,d005,23-12-1986,01-01-9999
485492,d009,17-08-1998,01-01-9999
485493,d005,11-09-1985,01-01-9999
485494,d008,28-02-1995,01-01-9999
485495,d005,26-10-1999,06-01-2001
485495,d008,06-01-2001,01-01-9999
485496,d007,04-01-1992,01-01-9999
485497,d004,12-06-1988,18-07-2000
485498,d004,08-11-1998,01-01-9999
485499,d004,21-07-1986,01-01-9999
485500,d007,11-12-1992,01-01-9999
485501,d005,07-10-1993,01-01-9999
485502,d001,25-06-1988,01-01-9999
485503,d005,16-10-1990,01-01-9999
485504,d005,25-12-1995,01-01-9999
485504,d006,21-09-1993,25-12-1995
485505,d008,11-07-1994,01-01-9999
485506,d006,20-05-1989,03-01-2000
485507,d005,08-07-1996,15-10-2000
485508,d005,14-04-1993,23-08-1997
485509,d004,26-03-1986,01-01-9999
485510,d004,24-02-1997,01-01-9999
485511,d002,13-04-1990,01-01-9999
485512,d005,24-02-1999,01-01-9999
485513,d005,14-03-1994,08-10-1994
485513,d009,09-03-1990,14-03-1994
485514,d007,23-12-1991,01-01-9999
485515,d005,26-04-1996,01-01-9999
485516,d004,05-02-1994,01-01-9999
485517,d004,31-08-1993,05-06-1999
485518,d007,01-04-1987,01-01-9999
485519,d003,04-08-1985,01-01-9999
485520,d007,03-10-1995,01-01-9999
485521,d009,27-12-1993,01-01-9999
485522,d004,31-12-1999,01-01-9999
485522,d008,23-09-1997,31-12-1999
485523,d005,28-08-1985,01-01-9999
485524,d005,11-05-1995,01-01-9999
485525,d005,11-08-1989,07-10-1989
485526,d004,19-04-1985,01-01-9999
485527,d004,09-07-1998,01-01-9999
485528,d007,22-11-1997,03-08-2000
485529,d009,12-12-1988,01-01-9999
485530,d002,11-12-1987,10-12-1993
485530,d003,10-12-1993,01-01-9999
485531,d005,12-05-1987,01-01-9999
485532,d007,12-03-1994,01-01-9999
485533,d003,04-08-1991,01-01-9999
485534,d009,09-10-1995,01-01-9999
485535,d007,30-11-1985,01-01-9999
485536,d004,22-10-1991,25-08-1994
485537,d002,19-01-1992,01-01-9999
485538,d001,20-12-1985,01-01-9999
485538,d007,05-10-1985,20-12-1985
485539,d002,08-02-1991,01-01-9999
485540,d003,24-03-1985,29-11-1987
485541,d007,11-12-1987,01-01-9999
485542,d004,02-05-1985,01-01-9999
485543,d008,26-12-1994,01-01-9999
485544,d005,02-07-1992,06-02-2002
485545,d004,15-09-1997,31-05-2000
485546,d008,22-03-1993,01-01-9999
485547,d007,04-10-1986,02-01-1992
485547,d009,02-01-1992,01-01-9999
485548,d007,09-06-1989,01-01-9999
485549,d007,04-09-1997,16-06-2001
485550,d007,16-08-1999,01-01-9999
485551,d007,13-01-1989,01-01-9999
485552,d004,10-04-1994,01-01-9999
485553,d004,27-03-1999,01-01-9999
485554,d007,06-06-1986,01-01-9999
485555,d004,25-10-1999,23-07-2000
485556,d005,24-03-1985,01-01-9999
485557,d005,18-04-1989,01-01-9999
485558,d004,28-05-1998,01-01-9999
485558,d005,22-02-1987,28-05-1998
485559,d007,24-12-1992,01-01-9999
485560,d004,13-05-1990,01-01-9999
485561,d005,12-03-1996,23-06-1998
485562,d007,15-03-1995,01-01-9999
485563,d005,15-04-1985,31-03-1998
485564,d005,16-12-1993,01-01-9999
485565,d007,12-04-1988,01-01-9999
485566,d005,05-07-1988,01-01-9999
485567,d008,24-10-1996,01-01-9999
485568,d007,20-12-1985,01-01-9999
485569,d005,03-03-1989,05-05-1989
485569,d008,05-05-1989,22-10-1992
485570,d004,19-06-1997,01-01-9999
485571,d003,22-12-1994,01-01-9999
485572,d005,14-03-1991,20-05-1996
485573,d005,30-09-1986,01-01-9999
485574,d005,05-03-1988,01-01-9999
485575,d006,25-11-1988,01-01-9999
485576,d001,13-08-1992,01-01-9999
485577,d005,27-04-1997,01-01-9999
485578,d006,31-03-1992,01-01-9999
485579,d005,16-12-1986,01-01-9999
485580,d001,29-05-1993,14-12-1993
485580,d007,14-12-1993,19-08-1997
485581,d005,03-06-1992,01-01-9999
485582,d004,20-05-1989,01-01-9999
485583,d007,08-10-1999,01-01-9999
485584,d005,17-08-1995,01-01-9999
485585,d004,15-10-1987,01-01-9999
485586,d006,18-12-1988,01-01-9999
485587,d009,07-10-1999,07-03-2000
485588,d004,12-10-1998,01-01-9999
485589,d004,08-12-1987,15-07-1993
485589,d006,15-07-1993,01-01-9999
485590,d005,28-11-1991,01-01-9999
485591,d005,07-10-1995,01-01-9999
485592,d004,23-02-1995,01-01-9999
485593,d004,08-10-1999,24-08-2000
485594,d005,15-06-1999,01-01-9999
485595,d005,24-07-1992,01-01-9999
485596,d009,23-07-1989,01-01-9999
485597,d002,03-02-1995,15-06-1995
485597,d007,15-06-1995,19-07-1999
485598,d002,23-11-1990,01-01-9999
485599,d003,28-09-1990,21-08-1991
485600,d007,09-01-2000,01-01-9999
485601,d003,28-11-1999,07-07-2000
485602,d001,26-11-1987,01-01-9999
485603,d004,19-04-1991,01-01-9999
485604,d007,06-12-1996,01-01-9999
485605,d004,27-08-1992,01-01-9999
485606,d007,12-11-1998,01-01-9999
485607,d007,19-08-1997,24-09-1998
485607,d009,24-09-1998,24-04-1999
485608,d004,14-06-1992,01-01-9999
485609,d002,23-03-1999,01-01-9999
485610,d005,30-07-1992,01-01-9999
485611,d008,29-08-1999,05-12-2000
485612,d005,30-05-1993,01-01-9999
485613,d005,04-10-1994,02-11-1999
485614,d006,17-08-1991,01-01-9999
485615,d007,22-08-1985,01-01-9999
485616,d004,02-05-1999,01-01-9999
485616,d006,17-03-1990,02-05-1999
485617,d002,06-10-1990,01-01-9999
485618,d007,10-02-1992,01-01-9999
485619,d003,12-04-1992,01-01-9999
485620,d003,28-03-1996,28-07-1998
485621,d001,21-12-1985,01-01-9999
485622,d006,19-09-1997,01-01-9999
485623,d004,25-04-1997,01-01-9999
485624,d003,15-11-1991,01-01-9999
485625,d001,18-10-1993,01-01-9999
485625,d007,06-10-1990,18-10-1993
485626,d004,24-08-1992,21-10-1999
485627,d005,15-07-1996,16-11-1998
485628,d005,13-04-1989,12-03-1996
485629,d005,12-09-1997,01-01-9999
485630,d006,21-08-1999,01-01-9999
485631,d005,15-10-1998,08-09-1999
485632,d004,12-05-1999,01-01-9999
485633,d007,18-11-1989,01-01-9999
485634,d001,30-04-2000,01-01-9999
485634,d007,02-03-1991,30-04-2000
485635,d004,24-11-1987,13-05-2000
485636,d004,04-06-1994,01-01-9999
485637,d005,13-05-1999,11-05-2000
485638,d007,30-11-1993,01-01-9999
485639,d008,17-12-1999,01-01-9999
485640,d002,11-09-1985,01-01-9999
485641,d003,25-11-1999,01-01-9999
485642,d004,06-10-1998,14-07-2000
485643,d002,03-12-1993,01-01-9999
485643,d003,21-08-1987,03-12-1993
485644,d005,25-05-1997,01-01-9999
485645,d004,07-08-1986,11-08-1988
485646,d008,03-11-1990,01-01-9999
485647,d009,08-05-1995,01-01-9999
485648,d004,12-10-1994,01-01-9999
485649,d008,23-11-1994,01-01-9999
485650,d002,16-09-1996,01-01-9999
485651,d004,27-05-1990,01-01-9999
485652,d005,19-08-1991,03-12-1993
485653,d001,24-05-1992,01-01-9999
485654,d004,06-04-1997,01-01-9999
485654,d005,22-05-1993,06-04-1997
485655,d008,18-12-1999,01-01-9999
485656,d005,25-08-1993,01-01-9999
485657,d003,12-10-1999,01-01-9999
485658,d007,01-08-1986,01-01-9999
485659,d009,06-12-1997,01-01-9999
485660,d005,25-06-1987,07-11-1993
485661,d007,30-11-1990,01-01-9999
485662,d002,01-06-2001,01-01-9999
485662,d003,25-08-1998,01-06-2001
485663,d004,08-05-1993,01-01-9999
485664,d009,23-06-1986,01-01-9999
485665,d007,02-10-1997,01-01-9999
485666,d001,23-09-1999,29-09-2001
485667,d008,02-12-1988,01-01-9999
485668,d007,16-12-1987,01-01-9999
485669,d007,01-06-1997,01-01-9999
485670,d004,23-10-1993,09-07-2000
485670,d009,09-07-2000,01-01-9999
485671,d004,20-09-1993,01-01-9999
485672,d006,28-03-1988,06-07-1998
485673,d007,08-01-1992,01-01-9999
485674,d005,21-12-1994,07-06-2002
485675,d006,19-10-1988,15-01-1995
485676,d005,30-10-1995,16-12-2001
485677,d003,11-07-1996,01-01-9999
485678,d004,22-06-1997,22-07-2002
485678,d006,22-07-2002,01-01-9999
485679,d004,15-10-1992,01-01-9999
485680,d007,24-11-1999,10-03-2000
485681,d006,31-10-1990,01-01-9999
485682,d008,20-03-1997,01-01-9999
485683,d005,28-12-1986,01-01-9999
485684,d007,11-09-1985,01-01-9999
485685,d005,14-10-1994,27-04-1995
485686,d005,30-11-1990,01-01-9999
485687,d004,21-09-1995,04-07-1996
485687,d009,04-07-1996,01-01-9999
485688,d007,20-06-1995,01-01-9999
485689,d003,17-09-1988,01-01-9999
485690,d004,18-05-1993,01-01-9999
485691,d004,29-10-1992,01-01-9999
485692,d001,25-05-1988,01-01-9999
485693,d005,06-03-1987,01-01-9999
485694,d008,29-06-1992,06-05-1999
485695,d005,21-05-1999,01-01-9999
485695,d006,04-05-1994,21-05-1999
485696,d007,13-04-1995,13-05-1997
485697,d009,09-06-1990,01-01-9999
485698,d005,02-11-1990,01-01-9999
485699,d002,11-04-1985,01-01-9999
485700,d009,17-11-1988,01-01-9999
485701,d005,16-02-1991,01-01-9999
485702,d005,16-05-1992,01-01-9999
485703,d007,24-06-1990,01-01-9999
485704,d004,07-06-1988,28-11-1992
485704,d006,28-11-1992,01-01-9999
485705,d003,27-01-1993,03-09-1998
485706,d004,04-05-1987,01-01-9999
485707,d001,03-02-1995,01-01-9999
485708,d007,17-05-1987,13-07-1998
485709,d009,24-02-1990,01-01-9999
485710,d007,02-04-1993,01-01-9999
485711,d005,18-02-1995,01-01-9999
485712,d005,06-02-1996,25-04-2000
485713,d005,25-03-1995,12-11-1996
485713,d008,12-11-1996,01-01-9999
485714,d007,18-12-1994,01-01-9999
485715,d007,18-01-1992,01-01-9999
485716,d007,08-07-1992,31-12-2000
485717,d005,08-02-1993,01-01-9999
485718,d002,25-09-1986,01-01-9999
485719,d004,20-10-1992,04-01-2002
485720,d007,15-04-1986,01-01-9999
485721,d004,02-04-1986,01-01-9999
485722,d002,15-09-1994,01-01-9999
485723,d005,03-06-1988,08-11-1999
485724,d002,30-09-1988,11-06-1999
485724,d003,11-06-1999,01-01-9999
485725,d003,13-10-1998,01-01-9999
485726,d008,26-07-1998,17-04-2001
485727,d004,25-02-1999,01-01-9999
485728,d005,28-02-1999,01-01-9999
485729,d007,14-01-1992,01-01-9999
485730,d009,07-09-1986,01-01-9999
485731,d004,28-10-1993,01-01-9999
485732,d007,13-02-1999,01-01-9999
485733,d008,01-04-1989,01-01-9999
485734,d004,25-11-1994,24-08-2000
485734,d006,24-08-2000,01-01-9999
485735,d004,02-12-1998,15-06-2000
485736,d004,24-01-1991,01-01-9999
485737,d005,06-10-1987,01-01-9999
485738,d007,20-01-1990,01-01-9999
485739,d003,02-02-1985,01-01-9999
485740,d004,19-05-1993,01-01-9999
485741,d005,15-03-1989,02-08-1989
485742,d004,30-10-1988,01-01-9999
485742,d005,27-03-1985,30-10-1988
485743,d004,07-09-1989,01-01-9999
485744,d008,24-10-1988,01-01-9999
485745,d004,29-07-1986,01-01-9999
485746,d009,21-03-1985,09-04-1987
485747,d007,09-10-1998,09-09-2000
485748,d003,08-12-1994,05-06-1999
485749,d005,04-04-1992,23-09-1992
485750,d007,20-09-1986,01-01-9999
485751,d001,28-11-1985,01-01-9999
485752,d001,26-11-1994,30-01-1998
485752,d009,30-01-1998,01-01-9999
485753,d003,18-02-1987,23-05-2002
485754,d007,03-10-1989,01-01-9999
485755,d004,06-07-1992,01-01-9999
485756,d004,22-01-1994,01-01-9999
485757,d006,14-11-1993,01-01-9999
485758,d004,19-01-1998,01-01-9999
485759,d005,23-05-1991,01-01-9999
485760,d005,08-10-1987,05-05-1990
485761,d004,24-07-1991,30-06-1999
485761,d009,30-06-1999,01-01-9999
485762,d001,19-04-1998,01-01-9999
485763,d005,20-04-1995,11-12-2001
485764,d001,18-06-1998,01-01-9999
485765,d007,23-05-1999,01-01-9999
485766,d007,17-01-2000,01-01-9999
485767,d004,03-01-1997,01-01-9999
485768,d004,08-02-1990,22-10-1995
485769,d007,15-02-1994,01-01-9999
485770,d007,29-03-1985,01-01-9999
485771,d004,20-05-1990,05-09-1994
485771,d006,05-09-1994,01-01-9999
485772,d004,27-01-1986,30-01-1992
485773,d007,27-05-1999,01-01-9999
485774,d007,23-08-1988,01-01-9999
485775,d004,14-06-1989,01-01-9999
485776,d004,18-01-1987,01-01-9999
485777,d007,02-10-1994,01-01-9999
485778,d007,13-12-1992,01-01-9999
485779,d004,14-05-1998,01-01-9999
485780,d007,06-09-1993,01-01-9999
485781,d004,23-08-1999,11-12-1999
485781,d006,08-05-1998,23-08-1999
485782,d004,14-12-1989,03-12-1999
485783,d005,30-03-1990,01-01-9999
485784,d003,03-08-1989,01-01-9999
485785,d007,06-03-1990,01-01-9999
485786,d005,17-12-1986,01-01-9999
485787,d002,08-10-1991,01-01-9999
485788,d004,01-10-1993,01-01-9999
485789,d004,23-02-1991,26-03-1994
485789,d009,26-03-1994,01-01-9999
485790,d003,08-08-1995,01-01-9999
485791,d006,24-04-1998,27-12-1998
485792,d005,27-07-1987,01-01-9999
485793,d004,11-05-1989,01-01-9999
485794,d007,26-03-1988,01-01-9999
485795,d002,05-01-1996,01-01-9999
485796,d002,23-07-1995,01-01-9999
485797,d005,11-03-1996,11-01-2000
485798,d001,09-06-1987,01-01-9999
485798,d007,10-06-1985,09-06-1987
485799,d008,22-11-1997,01-01-9999
485800,d007,14-03-1990,07-06-2002
485801,d001,10-06-1998,01-01-9999
485802,d005,08-07-1991,01-01-9999
485803,d005,12-09-1985,01-01-9999
485804,d005,09-07-1985,01-01-9999
485805,d004,24-01-1987,04-12-1992
485806,d005,05-06-1998,01-01-9999
485807,d004,04-07-1987,01-01-9999
485808,d007,25-10-1995,09-07-2002
485809,d001,20-04-2000,01-01-9999
485809,d007,18-05-1999,20-04-2000
485810,d004,22-05-1992,01-01-9999
485811,d007,06-08-1998,01-01-9999
485812,d004,10-04-1985,01-01-9999
485813,d005,11-10-1988,01-01-9999
485814,d004,22-03-1991,02-08-1992
485815,d005,22-04-1989,01-01-9999
485816,d003,31-05-1991,01-01-9999
485817,d004,21-02-1997,01-01-9999
485817,d005,10-01-1995,21-02-1997
485818,d004,23-06-1999,06-03-2002
485819,d009,10-09-1993,01-01-9999
485820,d004,15-12-1999,01-01-9999
485821,d005,14-05-1993,01-01-9999
485822,d007,14-10-1992,01-01-9999
485823,d004,25-01-1987,19-04-1988
485824,d005,28-02-1996,01-01-9999
485825,d004,30-04-1987,04-05-1987
485826,d002,17-12-1986,29-05-2002
485826,d003,29-05-2002,01-01-9999
485827,d007,06-04-1988,01-01-9999
485828,d005,15-09-1992,01-01-9999
485829,d005,27-03-1998,09-09-1999
485830,d001,28-01-1987,01-01-9999
485831,d005,21-07-1999,20-08-2000
485832,d007,21-11-1986,01-01-9999
485833,d004,08-11-1998,01-01-9999
485834,d007,17-05-1986,01-01-9999
485835,d004,08-10-1992,19-06-2001
485836,d005,29-04-1995,01-01-9999
485837,d005,13-06-1994,25-02-1998
485837,d008,25-02-1998,01-01-9999
485838,d006,29-07-1994,01-01-9999
485839,d007,21-01-1990,01-01-9999
485840,d009,21-04-1997,01-01-9999
485841,d007,14-11-1996,01-01-9999
485842,d003,17-04-1995,16-05-1996
485843,d004,07-02-1986,01-01-9999
485844,d007,31-08-1988,01-01-9999
485845,d008,24-12-1990,01-01-9999
485846,d004,30-04-1994,01-01-9999
485846,d005,05-04-1987,30-04-1994
485847,d004,30-05-1991,12-09-1992
485848,d005,25-05-1996,01-01-9999
485849,d004,06-09-1987,25-11-1991
485850,d007,25-05-1999,01-01-9999
485851,d006,28-05-1997,01-01-9999
485852,d005,15-02-1985,01-01-9999
485853,d004,29-07-1999,01-01-9999
485854,d007,14-04-1995,16-05-2002
485854,d009,16-05-2002,01-01-9999
485855,d009,24-08-1989,01-01-9999
485856,d007,25-04-1995,21-06-2001
485857,d006,12-11-1997,01-01-9999
485858,d004,12-01-1988,01-01-9999
485859,d008,19-07-1989,24-08-1994
485860,d005,14-05-1999,01-01-9999
485861,d004,18-09-1998,01-01-9999
485862,d001,12-06-1987,01-01-9999
485863,d004,15-03-1998,02-04-1998
485863,d009,02-04-1998,01-01-9999
485864,d005,18-08-1995,01-01-9999
485865,d007,09-10-1992,01-01-9999
485866,d003,03-04-1997,25-06-2001
485867,d005,19-12-1992,01-01-9999
485868,d004,11-02-1987,22-12-1988
485869,d002,14-11-1988,01-01-9999
485870,d007,10-03-1996,22-01-1999
485871,d005,24-04-1993,01-01-9999
485872,d002,27-04-1997,01-01-9999
485872,d003,25-10-1995,27-04-1997
485873,d004,13-04-1996,01-01-9999
485874,d004,27-12-1992,01-01-9999
485875,d009,17-06-1997,01-01-9999
485876,d001,23-08-1985,01-01-9999
485877,d006,03-01-2000,12-12-2001
485878,d008,10-10-1986,01-01-9999
485879,d007,19-12-1999,01-01-9999
485880,d008,12-05-1991,01-01-9999
485881,d004,22-06-1994,01-01-9999
485881,d006,26-09-1989,22-06-1994
485882,d009,25-09-1995,01-01-9999
485883,d007,10-02-1998,01-01-9999
485884,d001,06-05-1988,01-01-9999
485885,d007,26-01-1991,01-01-9999
485886,d006,29-10-1993,11-11-1993
485887,d008,11-08-1991,19-02-2002
485888,d005,10-10-1997,01-01-9999
485889,d004,26-07-1996,01-01-9999
485890,d004,09-04-2000,01-01-9999
485890,d005,30-12-1996,09-04-2000
485891,d001,21-06-1995,01-01-9999
485892,d001,07-06-1989,01-01-9999
485893,d005,10-11-1989,01-01-9999
485894,d007,29-05-1987,22-09-1988
485895,d007,16-06-1990,01-01-9999
485896,d004,03-07-1994,01-01-9999
485897,d005,30-12-1997,01-01-9999
485898,d004,02-06-1986,08-07-1987
485899,d004,27-08-1993,08-05-1996
485899,d006,08-05-1996,18-11-1999
485900,d007,15-09-1993,01-01-9999
485901,d005,23-07-1985,01-01-9999
485902,d007,21-04-1999,01-01-9999
485903,d001,18-01-1994,01-01-9999
485904,d004,07-06-1991,01-01-9999
485905,d005,11-11-1988,01-01-9999
485906,d007,29-02-1992,01-01-9999
485907,d004,26-12-1998,01-01-9999
485908,d004,19-12-1999,25-07-2002
485908,d006,25-07-2002,29-07-2002
485909,d004,25-10-1989,01-01-9999
485910,d005,10-03-1994,01-01-9999
485911,d004,04-07-1987,01-01-9999
485912,d004,11-07-1988,01-01-9999
485913,d004,03-06-1991,01-01-9999
485914,d004,18-02-1996,01-01-9999
485915,d007,16-05-1995,01-01-9999
485916,d004,05-06-1985,01-01-9999
485917,d005,28-02-1996,18-02-1999
485917,d008,18-02-1999,19-07-1999
